time,x1,v1
6.4,0.02322379904812977,0.34429078898820303
6.42,0.030033805995380917,0.33636780164039176
6.44,0.036665034695392396,0.3264269139092962
6.46,0.04307779822325761,0.3145226554997054
6.48,0.04923331343674349,0.30072399073675826
6.5,0.05509461064024133,0.2851127332410871
6.52,0.06062639168083454,0.26778394678642126
6.54,0.0657951866901772,0.2488454520922569
6.56,0.07057020651917204,0.22841525105825
6.58,0.07492271648704789,0.20662355469523364
6.6,0.07882687375730935,0.183609395050998
6.62,0.08225987603558876,0.1595196234631005
6.64,0.08520147150199976,0.13451114579972342
6.66,0.08763503166039904,0.10874470899680902
6.68,0.089547059319411,0.0823867937281595
6.7,0.09092741914135727,0.055607561082402335
6.72,0.09176950844514092,0.02857941493392242
6.74,0.0920699948047852,0.0014766883715227608
6.76,0.09182914925481744,-0.02552689471048095
6.78,0.09105069907380395,-0.05225894955199272
6.8,0.08974166779126963,-0.07854921524763513
6.82,0.08791263820746244,-0.10423248844027419
6.84,0.08557733206247962,-0.1291482886664024
6.86,0.0827526732468926,-0.15314277591327727
6.88,0.07945862163164133,-0.1760696127773305
6.9,0.07571785409380205,-0.19779033599727447
6.92,0.07155583731843002,-0.21817638724271413
6.94,0.06700045925509267,-0.2371090856789394
6.96,0.06208182776358873,-0.2544804539372439
6.98,0.05683222840115236,-0.2701950153101035
7,0.051285631679111265,-0.28416864092521577
7.02,0.04547758880715436,-0.2963299043030321
7.04,0.03944493895893344,-0.30662016076733517
7.06,0.0332255752893935,-0.3149940104049309
7.08,0.02685816785320938,-0.3214191546620906
7.1,0.02038191046430568,-0.3258765819522903
7.12,0.013836244107421897,-0.32836033463807623
7.14,0.007260599481548885,-0.3288773615344651
7.16,6.941393861043495e-4,-0.32744722088351874
7.18,-0.00582449391750882,-0.32410162942258186
7.2,-0.012257405759794206,-0.3188840461831801
7.22,-0.018567689073019932,-0.3118491517096438
7.24,-0.024719636368059014,-0.30306219803272594
7.26,-0.030678938561694957,-0.29259834549833197
7.28,-0.03641288760817262,-0.28054197559711425
7.3,-0.04189055057284316,-0.2669858815966816
7.32,-0.04708291947767755,-0.25203045211466113
7.34,-0.05196307021155283,-0.23578286795325804
7.36,-0.05650628718596589,-0.21835621327911797
7.38,-0.06069015699930194,-0.19986860273758664
7.4,-0.06449467861116508,-0.1804423206305232
7.42,-0.06790233605537352,-0.16020292648194745
7.44,-0.07089813748914796,-0.13927839629233324
7.46,-0.07346967349361752,-0.11779826889604778
7.48,-0.07560714130994634,-0.09589279656715069
7.5,-0.07730333079677254,-0.07369216513012417
7.52,-0.07855363299456913,-0.05132570271387337
7.54,-0.07935601945410807,-0.02892111791828441
7.56,-0.07971098125232136,-0.006603848230880567
7.58,-0.0796214930195105,0.015503627906524754
7.6,-0.07909295333899827,0.03728243525976023
7.62,-0.07813308617062746,0.0586177987881885
7.64,-0.07675186717847608,0.07939960132917673
7.66,-0.07496143269399158,0.09952289543450038
7.68,-0.07277595330175927,0.11888823761396497
7.7,-0.07021153079107628,0.13740210380307977
7.72,-0.06728608318248999,0.1549772659690366
7.74,-0.06401920050517214,0.17153297054686656
7.76,-0.060432021084147844,0.186995213667362
7.78,-0.05654709992028656,0.20129698862608364
7.8,-0.05238825603308844,0.2143783267424586
7.82,-0.047980436721114975,0.22618645027232853
7.84,-0.04334957507975176,0.23667589171458475
7.86,-0.038522437952661547,0.24580843531470437
7.88,-0.033526484345789774,0.25355315857373534
7.9,-0.028389719237900738,0.25988644345602185
7.92,-0.023140547340850328,0.26479184396318856
7.94,-0.01780763185511796,0.26826003553694233
7.96,-0.012419750385142335,0.27028873982611884
7.98,-0.007005658228711031,0.27088253870448037
8,-0.0015939525202848328,0.27005275090568703
8.02,0.0037870651862191005,0.26781729020553446
8.04,0.009109513459435808,0.2642004404489321
8.06,0.014346057485426483,0.25923267552287665
8.08,0.01947003633313933,0.2529504667650952
8.1,0.024455573363644536,0.24539602717917952
8.12,0.029277690227680127,0.2366170861992428
8.14,0.03391242128103984,0.22666665690317153
8.16,0.03833690820893745,0.21560275204475315
8.18,0.04252949894062325,0.2034881201408224
8.2,0.046469846982093985,0.19038997794188472
8.22,0.050138988644427486,0.17637969708443163
8.24,0.05351942455542934,0.16153250402067348
8.26,0.05659520186946943,0.14592717923842202
8.28,0.05935197236843345,0.12964571183396026
8.3,0.06177705432123015,0.11277296362317357
8.32,0.06385949554072304,0.09539633457989871
8.34,0.06559011049557513,0.07760538363164293
8.36,0.06696152027246197,0.05949145743592775
8.38,0.06796819440972944,0.04114732181990359
8.4,0.06860646515996716,0.02266675032466859
8.42,0.06887454339169181,0.004144120674046499
8.44,0.06877253718169303,-0.014325985394651634
8.46,0.06830244161058084,-0.03264921948000596
8.48,0.0674681287409957,-0.05073189475567889
8.5,0.06627534122237627,-0.06848141090069504
8.52,0.06473165655137993,-0.08580670538320669
8.54,0.06284644988877341,-0.10261869296019921
8.56,0.0606308615122378,-0.11883070297126877
8.58,0.05809773534205728,-0.13435892716677114
8.6,0.05526155436129322,-0.149122850905055
8.62,0.05213838168244443,-0.16304568473026834
8.64,0.04874577428240918,-0.17605478698835986
8.66,0.04510269215811134,-0.1880820618890735
8.68,0.04122941402878873,-0.19906436248752912
8.7,0.037147428552703435,-0.2089438637569283
8.72,0.032879320003010276,-0.21766839931414436
8.74,0.028448661127160338,-0.22519180992509596
8.76,0.023879885507575513,-0.23147424239635145
8.78,0.01919815433991344,-0.2364823961366982
8.8,0.014429230582534487,-0.24018979080514818
8.82,0.009599337434946719,-0.242576968519921
8.84,0.004735012558580099,-0.2436316240453052
8.86,-1.37030793009244e-4,-0.24334876757619506
8.88,-0.004990053107354039,-0.24173081221239368
8.9,-0.009797439096179788,-0.23878756750413405
8.92,-0.014532842567742515,-0.23453627862446963
8.94,-0.019170336736004996,-0.2290015874199321
8.96,-0.023684560484740783,-0.2222153779627937
8.98,-0.02805086129862755,-0.21421668113427716
9,-0.03224543936295971,-0.20505150523599902
9.02,-0.036245480228701124,-0.19477253332094946
